epoch,learning_rate,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.0010000000474974513,1.1066690683364868,0.6154283881187439,3.3975677490234375,0.32757121324539185
1,0.0010000000474974513,0.5550195574760437,0.8148536086082458,0.5147850513458252,0.8359426259994507
2,0.0010000000474974513,0.43671175837516785,0.8565527200698853,0.5803990960121155,0.8137638568878174
3,0.0010000000474974513,0.36411479115486145,0.8809195756912231,0.7211276888847351,0.7501630783081055
4,0.0005000000237487257,0.29796597361564636,0.9011853933334351,0.38150790333747864,0.8752989768981934
5,0.0005000000237487257,0.2733345925807953,0.9108842611312866,0.41444528102874756,0.8727984428405762
6,0.0005000000237487257,0.2582944929599762,0.9136382937431335,0.4346770942211151,0.8505109548568726
7,0.0002500000118743628,0.22256320714950562,0.9273184537887573,0.3507020175457001,0.8839965462684631
8,0.0002500000118743628,0.20905232429504395,0.9311500787734985,0.289713591337204,0.9044357538223267
9,0.0002500000118743628,0.2027200162410736,0.9325570464134216,0.35531339049339294,0.8851924538612366
10,0.0002500000118743628,0.1990976184606552,0.9339340329170227,0.2786111831665039,0.9100891351699829
11,0.0002500000118743628,0.1975962221622467,0.9356103539466858,0.3604527413845062,0.8773646354675293
