condition,float32,int4,int8
-5,0.8122099995671306,0.36050799884833395,0.3633660002378747
0,0.7976159991812892,0.3495400000247173,0.3542479999305215
10,0.8121580000442918,0.3547860006801784,0.3553950000787154
20,0.7941479998407885,0.354576998797711,0.36378900083946064
clean,0.7760869998310227,0.3287679995992221,0.3480670000135433
