model,model_size_kb,avg_latency_ms,clean_accuracy,clean_accuracy_percent,worst_case_accuracy,worst_case_accuracy_percent,max_robustness_drop,max_robustness_drop_percent_points
float32,1014.8203125,0.7984437996929046,0.89,89.0,0.61,61.0,0.28,28.000000000000004
int4,271.3203125,0.34963579959003255,0.89,89.0,0.6,60.0,0.29000000000000004,29.000000000000004
int8,271.3203125,0.3569730002200231,0.89,89.0,0.6,60.0,0.29000000000000004,29.000000000000004
